사업장명,소재지전체주소,도로명전체주소,주소,latitude,longitude,구
하트,서울특별시 동대문구 장안동 366-2,"서울특별시 동대문구 장한로24길 8, 지상2층 (장안동)",서울특별시 동대문구 장안동 366-2,37.5706405,127.0713248,동대문구
땡큐노래팡,서울특별시 종로구 종로5가 115,"서울특별시 종로구 종로31길 18, 2층 (종로5가)",서울특별시 종로구 종로5가 115,37.5717382,126.9999269,종로구
텐션,서울특별시 강서구 마곡동 795-6 뉴골든타워,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 5층 501호 (마곡동)",서울특별시 강서구 마곡동 795-6,37.560184,126.8372923,강서구
황진이,서울특별시 강서구 마곡동 795-6 뉴골든타워,"서울특별시 강서구 마곡중앙6로 89, 뉴골든타워 5층 501-1호 (마곡동)",서울특별시 강서구 마곡동 795-6,37.560184,126.8372923,강서구
대왕노래궁,서울특별시 강동구 천호동 416-5,"서울특별시 강동구 구천면로24길 11, 지하1층 (천호동)",서울특별시 강동구 천호동 416-5,37.5401754,127.1261682,강동구
두꺼비,서울특별시 강남구 논현동 118-17 세한빌딩 지하1층,"서울특별시 강남구 학동로 339, 세한빌딩 지하1층 (논현동)",서울특별시 강남구 논현동 118-17,37.5171427,127.0401937,강남구
피닉스,서울특별시 영등포구 영등포동3가 15-4,"서울특별시 영등포구 영중로10길 30, 2,3층 (영등포동3가)",서울특별시 영등포구 영등포동3가 15-4,37.5186021,126.9085738,영등포구
뭉클7080생음악라이브,서울특별시 종로구 종로3가 6 4층,"서울특별시 종로구 종로 111-1, 4층 (종로3가)",서울특별시 종로구 종로3가 6,37.5705773,126.9899327,종로구
엠비씨(MBC) 노래주점,서울특별시 강북구 수유동 191-29 피카소모텔 지하1층,"서울특별시 강북구 도봉로 355-8, B1층 (수유동)",서울특별시 강북구 수유동 191-29,37.6394781,127.0264895,강북구
난사노래빠,서울특별시 관악구 신림동 538-1,서울특별시 관악구 난곡로 317 (신림동),서울특별시 관악구 신림동 538-1,37.4823157,126.9142298,관악구
부엉이 노래클럽,서울특별시 구로구 오류동 55-14,"서울특별시 구로구 경인로 208, 1호 3층 (오류동)",서울특별시 구로구 오류동 55-14,37.4958953,126.8441582,구로구
스마일,서울특별시 영등포구 영등포동3가 9-23 지하1층,"서울특별시 영등포구 영중로4길 3-1 (영등포동3가,지하1층)",서울특별시 영등포구 영등포동3가 9-23,37.5172961,126.9068001,영등포구
