자치구,브랜드,지점명,소재지,latitude,longitude
종로구,CU,광화문광장점,서울특별시 종로구 신문로1가 1-1번지,37.5704807,126.9761834
종로구,CU,내자중앙점,서울특별시 종로구 내자동 61-1번지,37.5762968,126.9721561
종로구,CU,대학로광장점,서울특별시 종로구 혜화동 93번지,37.5860467,127.0013856
종로구,CU,동대문역점,서울특별시 종로구 창신동 464-16번지,37.5712577,127.0109839
종로구,CU,동숭아트점,서울특별시 종로구 동숭동 28번지,37.5831662,127.0038384
종로구,CU,마로니에점,서울특별시 종로구 연건동 78-2번지,37.578413,127.001919
종로구,CU,명륜성대점,서울특별시 종로구 명륜4가 187번지,37.5825421,126.9987685
종로구,CU,종로공원점,"서울 종로구 율곡로271,(종로6가) 1층",37.5709015,127.0070572
종로구,CU,종로삼청점,서울특별시 종로구 삼청동 22번지,37.5871106,126.9818114
종로구,CU,종로신교점,서울특별시 종로구 신교동 36번지 수만빌리지,37.5836934,126.9696423
종로구,CU,종로중앙점,서울특별시 종로구 관철동 14-10번지,37.5696989,126.9859123
종로구,CU,종로배화점,서울특별시 종로구 필운동41번지,37.5779637,126.9675036
종로구,CU,종로국악당점,서울특별시 종로구 와룡동25번지,37.5767779,126.9908906
종로구,CU,종로원서점,서울특별시 종로구 원서동45번지,37.5828355,126.9893358
종로구,CU,평창북악점,서울특별시 종로구 평창동97-9번지,37.6116207,126.974757
종로구,CU,종로행촌점,서울특별시 종로구 행촌동210-113번지,37.5750409,126.9619386
종로구,GS25,상명사랑,서울 종로구 홍지동 94-2 1층,37.6001569,126.9585319
종로구,GS25,종로누하,서울 종로구 필운대로 39(누하동 57-2),37.579673,126.9692219
종로구,GS25,종로도렴점,서울 종로구 도렴동 110-1번지 103호,37.5730367,126.9740729
종로구,미니스톱,종로북촌점,서울특별시 종로구 계동(가회동) 115-1,37.580293,126.9840428
종로구,미니스톱,종로육의전점,서울특별시 종로구 종로2가(종로1.2.3.4가동) 44,37.5741642,126.9897294
종로구,미니스톱,종로효제점,서울특별시 종로구 종로6가(종로5.6가동) 238-6,37.5730662,127.0044068
종로구,미니스톱,종로6가점,서울특별시 종로구 종로6가(종로5.6가동) 247-1,37.5730662,127.0044068
종로구,미니스톱,동대문역점,서울특별시 종로구 창신동(창신1동) 154-1,37.579406,127.015114
종로구,미니스톱,종로충신점,서울특별시 종로구 충신동(종로5.6가동) 52-2,37.574082,127.006292
종로구,세븐일레븐,성대점 B,명륜동2가 135,35.2176114,129.084941
종로구,세븐일레븐,종로배화점,서울 종로구 필운동 163,37.5771707,126.9694447
종로구,세븐일레븐,종로인사점,인사동 131-101,37.5713896,126.9870195
종로구,세븐일레븐,혜화점,혜화동 111-7,37.585815,127.0005857
종로구,세븐일레븐,세븐일레븐 평창점,서울시 종로구 평창동 343-1,37.6069519,126.965858
종로구,세븐일레븐,세븐일레븐 대학로카페점,서울시 종로구 동숭길 143 1층 101호,37.5832572,127.0024464
중구,CU,남대문로5가점,서울특별시 중구 남대문로5가 84-6번지,37.5575572,126.9733986
중구,CU,남대문점,서울특별시 중구 남대문로3가 85번지,37.561163,126.9776493
중구,CU,명동화이자점,서울특별시 중구 회현동3가 1-9번지,37.5605425,126.9843695
중구,CU,순화점,서울특별시 중구 순화동 1-104번지,37.5643647,126.9689094
중구,CU,중구필동점,서울 중구 서애로21 1층,37.5604061,126.9974344
중구,CU,중구회현점,서울특별시 중구 회현동1가 190번지,37.5592042,126.9798687
중구,CU,청구대로점,서울특별시 중구 신당동 336-3번지,37.5592923,127.0128412
중구,CU,청구역점,서울특별시 중구 신당동 387-3번지,37.5609962,127.0120686
중구,GS25,북창,서울 중구 북창동 98,37.5621999,126.9775384
중구,GS25,신당삼성,서울 중구 신당동 843 삼성@ 2동B 101호,37.5581685,127.0178958
중구,미니스톱,서울시청역점,서울특별시 중구 서소문동(소공동) 21-1,37.5641137,126.9811843
중구,미니스톱,남산점,서울특별시 중구 남산동2가(명동) 27-1,37.5586557,126.9858488
중구,미니스톱,신당점,서울특별시 중구 신당동(약수동) 348-152,37.5513128,127.0109839
중구,미니스톱,약수역점,서울특별시 중구 신당동(약수동) 368-67,37.5513128,127.0109839
중구,미니스톱,동대후문점,서울특별시 중구 충무로5가(필동) 85-4,37.5628465,126.9996461
중구,세븐일레븐,남대문본점,남대문로5가6-23 24번지,37.5581953,126.9731077
중구,세븐일레븐,남대문점,남대문로5가 21-1번지 신남문 빌딩,37.5590079,126.9748867
중구,세븐일레븐,남산쌍용점,회현동2가87 B-102호,37.5594019,126.9832186
중구,세븐일레븐,동대입구역점,서울시 중구 장충동2가 193-239,37.5589284,127.0026601
중구,세븐일레븐,명동본점,을지로2가 195-3번지 한양빌딩 103호,37.5648873,126.984497
중구,세븐일레븐,명동성당점,명동2가2-17,37.5637655,126.9857095
중구,세븐일레븐,명동포스트타워점,충무로1가소공로 66 101호,37.5670615,126.9927283
중구,세븐일레븐,서소문점 B,서소문동 57-7 대건빌당 101,37.5628744,126.9724091
중구,세븐일레븐,중구스카이점,충무로2가62-10 청방빌딩 1층,37.5613826,126.9872174
중구,세븐일레븐,중구초동점,초동16-9,,
